"wavelength","Geothite","hematite","gypsum","calcite","kaolinite_114","kaolinite_113","montmorillinite_126","monmorillinite_127","illite_121","illite_120","kaol_smect_124","kaol_smect_125"
498,0.0297,0.0207,0.9093689709,0.9387514264,0.7165,0.721515591,0.633,0.6394205725,0.5435,0.3184039186,0.3512734287,0.3317500716
499,0.0301,0.0209,0.9089957548,0.9352471526,0.7196,0.7202543398,0.6335,0.6404404954,0.5449,0.3196351372,0.3522930874,0.3335744872
500,0.0304,0.0208,0.9090226303,0.9346784272,0.7224,0.7215619272,0.635,0.6390973595,0.5463,0.3208483236,0.3532156983,0.334766878
501,0.0308,0.0208,0.9090425226,0.9364589255,0.7242,0.7244350107,0.637,0.6372112903,0.5476,0.3221602548,0.3540781832,0.3354482283
502,0.0312,0.021,0.9081326731,0.9382445326,0.7251,0.7254293084,0.6377,0.6376485398,0.5488,0.3238641181,0.3550109018,0.3363565204
503,0.0316,0.0214,0.9069430255,0.9391330901,0.7253,0.7245051129,0.6376,0.6395917276,0.5499,0.3256546131,0.3559773773,0.3376705423
504,0.032,0.0214,0.9069106591,0.9391455985,0.7258,0.7235840462,0.6376,0.6403550207,0.5512,0.3269430115,0.3568596387,0.3392147532
505,0.0324,0.0211,0.9079797946,0.9389129622,0.7268,0.7239084526,0.6383,0.6404804657,0.5525,0.3278734922,0.3577218486,0.3406099304
506,0.0329,0.0209,0.9092571842,0.9393211613,0.7282,0.7261351048,0.6397,0.642174081,0.554,0.3289790534,0.3587216598,0.3414227257
507,0.0333,0.021,0.9103579113,0.9402476013,0.7304,0.7291670185,0.6414,0.6450139953,0.5554,0.3303207267,0.3598662017,0.3418736286
508,0.0338,0.0212,0.9111921008,0.9409309126,0.7341,0.7310301724,0.643,0.6471739484,0.5566,0.3316996957,0.3610697233,0.3425395085
509,0.0343,0.0213,0.9115539166,0.9401779384,0.7384,0.7313313071,0.6443,0.6484651353,0.5577,0.3331396362,0.3622117147,0.3436899869
510,0.0348,0.0214,0.9112293534,0.9368592055,0.7418,0.730671364,0.6452,0.6495979009,0.5587,0.3347620092,0.3631689872,0.3453649085
511,0.0353,0.0214,0.9106495411,0.9330821502,0.7441,0.7302185543,0.6459,0.6504817943,0.5597,0.336322254,0.3639950857,0.3471312981
512,0.0358,0.0215,0.9105330933,0.9325427847,0.746,0.7312489935,0.6466,0.6506272094,0.5607,0.3374234567,0.3648301774,0.3483413655
513,0.0364,0.0217,0.9106367285,0.9356279696,0.7475,0.7327761298,0.6476,0.6503717416,0.5618,0.3383327819,0.3656321002,0.3489912192
514,0.0369,0.0217,0.9102852542,0.9406194772,0.7487,0.7327759771,0.6492,0.65044025,0.5629,0.3396448916,0.3662739651,0.3494597002
515,0.0375,0.0217,0.9102255279,0.9443459863,0.7501,0.732303472,0.6512,0.6504861618,0.564,0.3412789261,0.3668714683,0.3501383407
516,0.0381,0.0218,0.9118164887,0.9432572682,0.7526,0.7339290014,0.6527,0.6497190867,0.5651,0.3427902654,0.3676569893,0.3513623685
517,0.0388,0.022,0.914041148,0.9385755756,0.7559,0.737034412,0.6539,0.6493227358,0.5661,0.3441189289,0.3685833925,0.3528385765
518,0.0394,0.022,0.9147015612,0.9342298716,0.7593,0.7392486869,0.6551,0.6513399985,0.5673,0.3454276765,0.3694576636,0.3539592582
519,0.0401,0.0219,0.9139265249,0.9329961028,0.7622,0.7396436287,0.6568,0.6546256244,0.5685,0.3468075215,0.3702923287,0.3546929067
520,0.0408,0.0219,0.91316636,0.9364481511,0.764,0.7383453711,0.6588,0.656385578,0.5696,0.3482905215,0.3712161507,0.3553509068
521,0.0415,0.022,0.913250592,0.9409856215,0.766,0.7374392591,0.6609,0.6562890104,0.5705,0.3497545991,0.3722945724,0.3562504922
522,0.0422,0.0222,0.9144877775,0.9407668526,0.7705,0.7397098604,0.6625,0.6554960177,0.5715,0.3510108303,0.3735462654,0.3576587525
523,0.043,0.0224,0.9156930931,0.9382309014,0.7756,0.7433109052,0.6636,0.6554271066,0.5725,0.3521142978,0.3749018515,0.3593164782
524,0.0438,0.0224,0.915041716,0.9398512069,0.7778,0.7441097463,0.6645,0.6573748536,0.5735,0.3532521326,0.3762374445,0.3606868363
525,0.0446,0.0223,0.9131559545,0.94314148,0.7775,0.7426286518,0.6657,0.6598424933,0.5744,0.3544833275,0.3773990174,0.3615683348
526,0.0455,0.0223,0.9119593176,0.9412143802,0.7778,0.7418733978,0.6676,0.6600867277,0.5753,0.3557788875,0.3782446075,0.3620104931
527,0.0463,0.0223,0.9118540718,0.9366335255,0.7789,0.7419583625,0.6697,0.6594736124,0.576,0.3569922689,0.378936081,0.3625899688
528,0.0472,0.0223,0.912365628,0.9367296708,0.7797,0.7414711045,0.6708,0.6613610228,0.5768,0.3579428577,0.3797889451,0.3640773678
529,0.0481,0.0225,0.9133344475,0.9401413054,0.7805,0.74104208,0.6714,0.6645439691,0.5775,0.3588073028,0.3808553532,0.366054827
530,0.0491,0.0229,0.9147304011,0.9409199473,0.7829,0.7422888198,0.6726,0.6655043791,0.5782,0.3599458118,0.3820333954,0.3674887907
